rule,scope,categoria,significado,como_infringir,como_se_detecta,pen_normal,pen_easy,pen_hard,fail_duro,ejemplo_ok,ejemplo_fallo,casos_limite
runway_alignment_takeoff,ambas,Salida,Alineación con eje de pista en despegue,|runway_alignment_deg| > max_deg (10° normal),events[takeoff].runway_alignment_deg vs profile.runway_alignment_deg_max (scoring.py:559),10,5,15,,8° -> OK,12° (máx 10°) -> -10,sin evento takeoff o sin campo -> not_evaluated
runway_alignment_landing,ambas,Llegada,Alineación con eje de pista en aterrizaje,|runway_alignment_deg| > 10° en touchdown,events[touchdown].runway_alignment_deg vs profile.runway_alignment_deg_max (scoring.py:575),15,10,20,,5° -> OK,11° -> -15,sin touchdown -> not_evaluated (junto a touchdown_zone/landing_vs)
touchdown_zone,ambas,Llegada,Toma dentro de zona desde umbral,distance_from_threshold_m > 600 m normal,events[touchdown].distance_from_threshold_m vs profile.touchdown_zone_m_max (scoring.py:588),10,5,15,,320 m -> OK,650 m -> -10,sin touchdown/sin campo -> not_evaluated
landing_vs,ambas,Llegada,Suavidad de toma (VS vertical),bandas: butter<=60 smooth<=180 normal<=300 hard<=600 fpm,events[touchdown].vs_fpm abs vs profile.landing_vs_bands (scoring.py:601),0/0/10/25,0/0/5/15,0/0/15/35,>600 fpm -> FAIL landing_vs_very_hard (scoring.py:614),-250 fpm -> normal -10,-720 fpm -> very_hard FAIL (0 pts pero suspende),VS negativo; abs; sin touchdown -> not_evaluated
stabilized_500ft,ambas,Aproximación,Estabilizado a 500 ft AGL,"a 500±100 ft AGL VS fuera de [-1000,0]",track !on_ground y |alt_agl_ft-500|<=100 ultimo candidato vs vs_fpm (scoring.py:627),20,10,30,,510 ft -600 fpm -> OK,480 ft -1200 fpm -> -20,sin candidato -> not_evaluated; solo VS no IAS (profiles.yaml:13 pendiente)
fuel_reserve,ambas,Combustible,Reserva al calar,fuel_remaining_kg < 20 kg normal,summary.fuel_remaining_kg vs fuel_reserve_kg_min situa en ultimo track (scoring.py:648),20,10,30,,45 kg -> OK,18 kg -> -20,sin summary/sin campo -> not_evaluated
pause_duration,ambas,Sim,Pausas prolongadas,pause duration_s > 120 s normal,events[pause].duration_s vs pause_duration_s_max cada evento (scoring.py:666),10,5,15,,90 s -> OK,180 s -> -10 por exceso,multiple pausas suman; no FAIL
time_compression,ambas,Sim,Vuelo sin aceleración temporal,max_sim_rate_observed > 1,timing.max_sim_rate_observed (scoring.py:679),0,0,0,FAIL time_compression_used (>1x) suspende,1x -> OK,2x -> FAIL,sin max_sim_rate_observed -> not_evaluated
bank_angle,ambas,Actitud,Escora excesiva/sostenida,>warn sostenida o >fail instantáneo,track[].bank_deg warn 30°/fail 60°/3 muestras (scoring.py:233),15,10,20,FAIL excessive_bank_angle si |bank|>60°,28° -> OK,65° pico -> FAIL; 35° 4s -> -15 sostenida,sin bank_deg o sin cfg -> not_evaluated; ancla en max o inicio sostenido
landing_light_takeoff,ambas,Luces,Landing light en despegue,OFF en despegue ±30 s,track mas cercano a takeoff.utc dentro 30s lee landing_light (scoring.py:434),10,5,15,,ON en ventana -> OK,OFF en ventana -> -10 landing_light_off,sin evento/sin landing_light -> no evalua subregla; si ninguna luz evaluable -> not_evaluated lights
landing_light_landing,ambas,Luces,Landing light en aterrizaje,OFF en touchdown ±30 s,track cercano a touchdown.utc dentro 30s lee landing_light (scoring.py:430),10,5,15,,ON -> OK,OFF -> -10,igual que anterior
beacon_airborne,ambas,Luces,Beacon siempre ON en aire,beacon OFF en cualquier track en aire,track !on_ground todos beacon_light (scoring.py:450),10,5,15,,todo ON -> OK,OFF a FL100 -> -10 beacon_off_airborne situa 1er OFF,filtra airborne
nav_light_airborne,ambas,Luces,Nav siempre ON en aire,nav OFF en cualquier track en aire,track !on_ground todos nav_light (scoring.py:463),10,5,15,,todo ON -> OK,OFF -> -10 nav_light_off_airborne,igual
taxi_light,ambas,Luces,Luz rodaje ON al rodar,on_ground && gs>2 && taxi_light==False,filter taxiing=on_ground&gs>2 all taxi_light (scoring.py:477),5,5,10,,ON rodando -> OK,OFF rodando -> -5 taxi_light_off,solo tramo rodaje
strobe_taxi,ambas,Luces,Strobes OFF en rodaje,strobe True en rodaje,taxiing all NOT strobe_light (scoring.py:493),5,5,10,,OFF rodando -> OK,ON rodando -> -5 strobe_wrong_state,logica inversa
stall_warning,ambas,Seguridad,Nunca aviso perdida,stall_warning True,track[].stall_warning any True (scoring.py:293),0,0,0,FAIL stall_warning_triggered,sin True -> OK,True en track -> FAIL,sin stall_warning en traza -> not_evaluated
overspeed_warning,ambas,Seguridad,Nunca aviso overspeed sim,overspeed_warning True,track[].overspeed_warning any True (scoring.py:310),0,0,0,FAIL overspeed_warning_triggered,sin True -> OK,True -> FAIL,sin campo -> not_evaluated
structural_overspeed,ambas,Seguridad,No exceder VNE/VMO POH,ias_kt > limite efectivo (VMO sino VNE),"limite_efectivo(aircraft, vmo/vne) vs track[].ias_kt (scoring.py:333)",0,0,0,FAIL structural_overspeed,170 vs 163 VNE -> FAIL; 174 vs 175 VMO -> OK,170>163 VNE C172 -> FAIL,sin aircraft o limite None/no_aplica -> not_evaluated; no comprueba MMO
qnh,ambas,Instrumentos,QNH plausible,"qnh fuera de [28.5,31.2] normal",track[].qnh_inhg fuera rango profile.qnh (scoring.py:371),10,5,15,,29.92 -> OK,28.2 -> -10 qnh_out_of_range,sin qnh o sin cfg -> not_evaluated
gear_on_touchdown,ambas,Config,Tren abajo en toma (retractil),gear_down False a 5 s de touchdown,nearest track a touchdown.utc 5s lee gear_down; all True -> tren fijo -> not_evaluated (scoring.py:388),15,10,20,,True -> OK,False -> -15 gear_up_touchdown,sin gear_down/sin touchdown -> not_evaluated
route_deviation,ambas,Navegación,Seguir ruta planificada,desviarse de flight_plan.route,NO EVALUADA (scoring.py:549) falta ruta/puntos eva.db,0,0,0,,-,-,not_evaluated pendiente ampliar log
cruise_altitude_semicircular,VFR,Navegación,Altitud crucero semicircular VFR,crucero no semicircular,NO EVALUADA falta planned_cruise_alt_ft vs alt real + hemisferio,0,0,0,,-,-,not_evaluated solo VFR
speed_below_10000ft,ambas,Velocidad,<=250 kt <10000 ft,>250 kt IAS <10000 ft,NO EVALUADA falta ias+alt_msl <10k,0,0,0,,-,-,not_evaluated
assigned_squawk,ambas,ATC,Llevar squawk asignado,no llevar squawk ATC,NO EVALUADA falta squawk asignado vs track.squawk,0,0,0,,-,-,not_evaluated
planned_runway_match,ambas,Pista,Pista planificada = real,pista distinta a planificada,NO EVALUADA falta plan con pista vs events.runway real,0,0,0,,-,-,not_evaluated
runway_excursion,ambas,Pista,No salirse de pista,salida lateral de pista,NO EVALUADA falta geometria pistas_es + pos lateral,0,0,0,,-,-,not_evaluated
